trial_name,GoEpochs,F1
baseline_emo_0,0,0.18
baseline_emo_1,0,0.19
baseline_emo_2,0,0.17
baseline_emo_3,0,0.19
baseline_emo_4,0,0.16
4epochs_emo_0,4,0.18
4epochs_emo_1,4,0.2
4epochs_emo_2,4,0.21
4epochs_emo_3,4,0.17
4epochs_emo_4,4,0.16
8epochs_emo_0,8,0.19
8epochs_emo_1,8,0.2
8epochs_emo_2,8,0.2
8epochs_emo_3,8,0.2
8epochs_emo_4,8,0.17
12epochs_emo_0,12,0.17
12epochs_emo_1,12,0.18
12epochs_emo_2,12,0.19
12epochs_emo_3,12,0.19
12epochs_emo_4,12,0.18
