trial_name,GoEpochs,F1
baseline_0,0,0.09
baseline_1,0,0.12
baseline_2,0,0.07
baseline_3,0,0.1
baseline_4,0,0.07
4epochs_0,4,0.11
4epochs_1,4,0.12
4epochs_2,4,0.11
4epochs_3,4,0.15
4epochs_4,4,0.1
8epochs_0,8,0.11
8epochs_1,8,0.12
8epochs_2,8,0.11
8epochs_3,8,0.12
8epochs_4,8,0.09
12epochs_0,12,0.1
12epochs_1,12,0.09
12epochs_2,12,0.09
12epochs_3,12,0.13
12epochs_4,12,0.11
