trial_name,GoEpochs,F1
baseline0,0,0.39
baseline1,0,0.4
baseline2,0,0.41
baseline3,0,0.4
baseline4,0,0.39
4epochs_0,4,0.42
4epochs_1,4,0.45
4epochs_2,4,0.46
4epochs_3,4,0.43
4epochs_4,4,0.44
8epochs_0,8,0.38
8epochs_1,8,0.4
8epochs_2,8,0.43
8epochs_3,8,0.43
8epochs_4,8,0.42
12epochs_0,12,0.38
12epochs_1,12,0.39
12epochs_2,12,0.43
12epochs_3,12,0.41
12epochs_4,12,0.37
